model,variant,selection_score,rmse_mean,rmse_std,selected
LightGBM,very_small,964.6985616332677,850.3138900412115,457.5386863682246,True
LightGBM,small,990.1852914301568,885.0496271230049,420.5426572286072,False
LightGBM,medium_small,988.3383893556497,893.9474562642334,377.5637323656653,False
CatBoost,depth3,969.9925598727885,857.3949227567346,450.39054846421584,False
CatBoost,depth4,916.8438482457269,808.0693188945592,435.0981174046711,True
