model,variant,selection_score,rmse_mean,rmse_std,selected
LightGBM,very_small,735.606532154292,657.948419186018,310.6324518730962,False
LightGBM,small,691.3544155160746,609.2443654339969,328.4402003283108,False
LightGBM,medium_small,670.9443079009754,596.4472966307358,297.9880450809588,True
CatBoost,depth3,715.5694918737347,654.1313088305577,245.75273217270774,False
CatBoost,depth4,693.2557829784606,631.4092002778559,247.38633080241894,True
