candidate,optimizer,source,actual_baseline_gas,conservative_predicted_gas,estimated_saving_vs_actual_baseline,fold_consensus_rate,prediction_std,normalized_knn_distance,savings_pass,consensus_pass,feasibility_pass,boundary_pass,trust_region_pass,safety_pass,safety_reasons,10#熔炼炉固体料重量比例,熔炼炉B当前批次等待时长_PLC,熔炼炉B当前批次炉门打开次数_PLC,熔炼炉B当前批次炉门打开时长_PLC
LightGBM__direct,genetic_algorithm,model_optimization,3701.28,3293.6656501615316,407.61434983846857,1.0,72.65794404607968,0.24965941234761704,True,True,True,True,True,True,,38.095199605793454,0.6497602383486134,14.0,69.41169676666607
GPR__direct,bayesian_optimization,model_optimization,3701.28,3443.708067689588,257.5719323104122,1.0,10.063650646808485,0.2689130591523996,True,True,True,True,True,True,,36.22715598400121,0.5888489475867198,14.0,68.07154289047226
Ridge+LGBMResidual__direct,bayesian_optimization,model_optimization,3701.28,3477.123744311138,224.15625568886207,1.0,11.262762851425432,0.26251969117539464,True,True,True,True,True,True,,36.47734040113986,0.5946116753564229,14.0,70.21569882453694
Huber+LGBMResidual__direct,bayesian_optimization,model_optimization,3701.28,3431.132732878456,270.14726712154425,1.0,70.61263972953647,0.27486986769319766,True,True,True,True,True,True,,36.46839259123113,0.5890293225025476,14.0,63.544746550861134
OOFEnsemble,genetic_algorithm,model_optimization,3701.28,3438.1874631137443,263.09253688625586,1.0,10.243306042577023,0.27439771198377466,True,True,True,True,True,True,,36.384621858767645,0.6061033464109115,14.0,63.47331884945727
