model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,selection_score
Linear,346.1947754148895,71.92447536910167,519.0563942209233,241.86571288945996,0.738401636728408,0.1222372140055915,579.5228224432883
Huber,348.3703821436669,79.99118244345117,523.770392860766,233.825698392682,0.7331692988762611,0.14413829282667856,582.2268174589366
LightGBM,526.1358046770067,132.3721699777798,971.2130171975102,563.6560814358799,0.20247758945826008,0.4260814158591455,1112.1270375564802
